model,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
MobileNetV2,1,0.7990162968635559,0.4228551685810089,0.9090909361839294,0.23701214790344238,0.0005000000237487257
MobileNetV2,2,0.9106173515319824,0.23801380395889282,0.9430122375488281,0.17492744326591492,0.0005000000237487257
MobileNetV2,3,0.9324966073036194,0.18571414053440094,0.9674355387687683,0.1468420922756195,0.0005000000237487257
MobileNetV2,4,0.9440298676490784,0.1593428999185562,0.972862958908081,0.12232651561498642,0.0005000000237487257
MobileNetV2,5,0.9533582329750061,0.13997748494148254,0.9715061187744141,0.11617577075958252,0.0005000000237487257
MobileNetV2,6,0.9586160182952881,0.12702186405658722,0.9796472191810608,0.10102953016757965,0.0005000000237487257
MobileNetV2,7,0.9638738036155701,0.11208635568618774,0.974219799041748,0.10321472585201263,0.0005000000237487257
MobileNetV2,8,0.9654002785682678,0.10460095852613449,0.9769335389137268,0.09359066188335419,0.0005000000237487257
MobileNetV2,9,0.9708276987075806,0.096835657954216,0.9823608994483948,0.08010805398225784,0.0005000000237487257
MobileNetV2,10,0.969131588935852,0.09388682246208191,0.9810040593147278,0.07863746583461761,0.0005000000237487257
MobileNetV2,11,0.9738805890083313,0.08862249553203583,0.9823608994483948,0.07595612853765488,0.0005000000237487257
MobileNetV2,12,0.9732021689414978,0.08628102391958237,0.9837177991867065,0.07030154764652252,0.0005000000237487257
MobileNetV2,13,0.9786295890808105,0.08107514679431915,0.9837177991867065,0.06782907247543335,0.0005000000237487257
MobileNetV2,14,0.9733718037605286,0.08342685550451279,0.9837177991867065,0.06614818423986435,0.0005000000237487257
MobileNetV2,15,0.9738805890083313,0.08125384896993637,0.9837177991867065,0.07168320566415787,0.0005000000237487257
MobileNetV2,16,0.975407063961029,0.07625269144773483,0.9837177991867065,0.06143418699502945,0.0005000000237487257
MobileNetV2,17,0.9798168540000916,0.0625930204987526,0.9918588995933533,0.033182431012392044,9.999999747378752e-06
MobileNetV2,18,0.9906716346740723,0.03145644813776016,0.9945725798606873,0.02764674462378025,9.999999747378752e-06
MobileNetV2,19,0.988466739654541,0.034815602004528046,0.9823608994483948,0.04857989028096199,9.999999747378752e-06
MobileNetV2,20,0.9944030046463013,0.022136297076940536,0.9891451597213745,0.03317755088210106,9.999999747378752e-06
MobileNetV2,21,0.996268630027771,0.01685018464922905,0.9864314794540405,0.04101310297846794,2.9999998787388904e-06
