class_or_average,precision,recall,f1-score,support
def_front,0.8658536585365854,0.9403973509933775,0.9015873015873016,453.0
ok_front,0.8789237668161435,0.7480916030534351,0.8082474226804124,262.0
accuracy,0.8699300699300699,0.8699300699300699,0.8699300699300699,0.8699300699300699
macro avg,0.8723887126763644,0.8442444770234063,0.854917362133857,715.0
weighted avg,0.8706429849271368,0.8699300699300699,0.867384436868973,715.0
