model,epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
ResNet50,1,0.7990162968635559,0.4213925898075104,0.9416553378105164,0.17520418763160706,0.0005000000237487257
ResNet50,2,0.9335142374038696,0.18072615563869476,0.974219799041748,0.10824840515851974,0.0005000000237487257
ResNet50,3,0.9548846483230591,0.13139256834983826,0.9823608994483948,0.07486530393362045,0.0005000000237487257
ResNet50,4,0.9621777534484863,0.10850503295660019,0.9850746393203735,0.06404075026512146,0.0005000000237487257
ResNet50,5,0.9696404337882996,0.09288492798805237,0.9877883195877075,0.054721247404813766,0.0005000000237487257
ResNet50,6,0.972862958908081,0.08506254851818085,0.9850746393203735,0.055707842111587524,0.0005000000237487257
ResNet50,7,0.9726933240890503,0.07855650037527084,0.9891451597213745,0.04731111600995064,0.0005000000237487257
ResNet50,8,0.979308009147644,0.0672936737537384,0.9891451597213745,0.046004120260477066,0.0005000000237487257
ResNet50,9,0.9816824793815613,0.06182466819882393,0.9918588995933533,0.04046475514769554,0.0005000000237487257
ResNet50,10,0.9811736941337585,0.0636548325419426,0.9932157397270203,0.03980651870369911,0.0005000000237487257
ResNet50,11,0.97947758436203,0.06316220015287399,0.9905020594596863,0.03712451830506325,0.0005000000237487257
ResNet50,12,0.9821913242340088,0.06133401393890381,0.9918588995933533,0.039051417261362076,0.0005000000237487257
ResNet50,13,0.979308009147644,0.06461165845394135,0.9850746393203735,0.042392075061798096,0.0005000000237487257
ResNet50,14,0.9855834245681763,0.0519404374063015,0.9932157397270203,0.034275997430086136,0.0001500000071246177
ResNet50,15,0.9867706894874573,0.044996146112680435,0.9945725798606873,0.022850841283798218,9.999999747378752e-06
ResNet50,16,0.9944030046463013,0.01885923556983471,0.9945725798606873,0.017902163788676262,9.999999747378752e-06
ResNet50,17,0.9944030046463013,0.018689880147576332,0.9864314794540405,0.027391167357563972,9.999999747378752e-06
ResNet50,18,0.996099054813385,0.013206353411078453,0.9932157397270203,0.015684053301811218,9.999999747378752e-06
ResNet50,19,0.9954206347465515,0.016700712963938713,0.9918588995933533,0.015126960352063179,9.999999747378752e-06
