class_or_average,precision,recall,f1-score,support
def_front,0.8814968814968815,0.9359823399558499,0.9079229122055674,453.0
ok_front,0.8760683760683761,0.7824427480916031,0.8266129032258065,262.0
accuracy,0.8797202797202798,0.8797202797202798,0.8797202797202798,0.8797202797202798
macro avg,0.8787826287826288,0.8592125440237265,0.867267907715687,715.0
weighted avg,0.8795076948923104,0.8797202797202798,0.8781281956283683,715.0
