class_or_average,precision,recall,f1-score,support
def_front,0.9862258953168044,0.7902869757174393,0.8774509803921569,453.0
ok_front,0.7301136363636364,0.9809160305343512,0.8371335504885994,262.0
accuracy,0.8601398601398601,0.8601398601398601,0.8601398601398601,0.8601398601398601
macro avg,0.8581697658402203,0.8856015031258953,0.8572922654403781,715.0
weighted avg,0.8923777668612379,0.8601398601398601,0.862677320763161,715.0
