model,accuracy,precision_weighted,recall_weighted,f1_weighted,training_time_seconds,total_parameters,trainable_parameters,last_conv_layer
MobileNetV2,0.8797202797202798,0.8795076948923104,0.8797202797202798,0.8781281956283683,196.346233782,2260546,1665922,out_relu
ResNet50,0.8699300699300699,0.8706429849271368,0.8699300699300699,0.867384436868973,347.47786153900006,23591810,15810818,conv5_block3_out
Custom CNN,0.8601398601398601,0.8923777668612379,0.8601398601398601,0.862677320763161,224.88327279700007,2061986,2060066,custom_last_conv
